Name,Holding Type,Shares,Settlement Price,Market Value,Coupon Rate,Client Sector,Client Country,Moody's Rating,S&P Rating,Maturity,
InFinT Acquisition Corp.,Rights and Warrants,55058,0.01,445.97,,Pre-Merger SPAC,United States,,,2027-05-19T05:00:00,
Bellevue Life Sciences Acquisi,Rights and Warrants,14638,0.03,409.86,,Pre-Merger SPAC,United States,,,2028-02-10T06:00:00,
"Globalink Investment, Inc.",Rights and Warrants,14771,0.03,406.2,,Pre-Merger SPAC,United States,,,2026-12-03T06:00:00,
Carmell Corp.,Rights and Warrants,3816,0.11,400.87,,Biotech & Pharma,United States,,,2027-04-12T05:00:00,
ClimateRock,Rights and Warrants,11778,0.03,399.86,,Pre-Merger SPAC,Great Britain,,,2027-06-01T05:00:00,
Agrinam Acquisition Corp.,Rights and Warrants,19798,0.02,395.96,,Pre-Merger SPAC,United States,,,,
Genesis Growth Tech Acquisition Corp.,Rights and Warrants,6030,0.06,386.22,,Pre-Merger SPAC,Switzerland,,,2028-05-19T05:00:00,
Achari Ventures Holdings Corp. I,Rights and Warrants,38384,0.01,383.84,,Pre-Merger SPAC,United States,,,2026-10-15T05:00:00,
Wise Ln Trs:bl9yr75,Contract for Difference,17799.84,100,352.37,4.8,Technology Services,Great Britain,,,2024-05-28T05:00:00,
Nuveen Variable Rate Preferred & Income Fund,Mutual Funds,20,17,340,,Closed-end Funds,United States,,,,
"Nogin, Inc.",Common Stock,11264,0.03,337.92,,Software,United States,,,,
Southport Acquisition Corp.,Rights and Warrants,6161,0.05,319.14,,Pre-Merger SPAC,United States,,,2028-05-24T05:00:00,
Eden Fp Trs:b62g1b5,Contract for Difference,24992.2,100,290.75,3.51,Commercial Support Services,France,,,,
Nuveen Real Asset Income and Growth Fund,Mutual Funds,25,11.32,283,,Closed-end Funds,United States,,,,
"QT Imaging Holdings, Inc.",Rights and Warrants,3954,0.07,276.78,,Medical Equipment & Devices,United States,,,2028-12-31T06:00:00,
"Inception Growth Acquisition, Ltd.",Rights and Warrants,2402,0.09,224.11,,Pre-Merger SPAC,United States,,,2026-10-15T05:00:00,
Alesk Fp Trs:5267639,Contract for Difference,5445,100,214.5,3.51,Software,France,,,2024-08-26T05:00:00,
DUET Acquisition Corp.,Rights and Warrants,5996,0.03,209.26,,Pre-Merger SPAC,United States,,,2028-07-19T05:00:00,
SMX Security Matters PLC,Rights and Warrants,36580,0.01,186.56,,Software,Ireland,,,2028-03-07T06:00:00,
Invesco Municipal Opportunity Trust,Mutual Funds,20,9.28,185.6,,Closed-end Funds,United States,,,,
Four Leaf Acquisition Corp.,Rights and Warrants,3750,0.05,178.69,,Pre-Merger SPAC,United States,,,2028-05-12T05:00:00,
Next.e.GO NV,Common Stock,5788,0.03,177.11,,Automotive,Netherlands,,,,
Deezer SA,Rights and Warrants,95238,0,152.46,,Internet Media & Services,France,,,2027-06-07T05:00:00,
Smwh Ln Trs:b2pdgw1,Contract for Difference,5812.8,100,149.16,4.8,Retail - Discretionary,Great Britain,,,2024-08-27T05:00:00,
Distoken Acquisition Corp.,Rights and Warrants,5841,0.03,148.95,,Pre-Merger SPAC,China,,,2028-03-30T05:00:00,
Kairous Acquisition Corp. ltd,Rights and Warrants,6746,0.02,134.92,,Pre-Merger SPAC,Malaysia,,,2026-09-15T05:00:00,
"Kernel Group Holdings, Inc.",Rights and Warrants,1326,0.1,132.6,,Pre-Merger SPAC,United States,,,2027-01-31T06:00:00,
Sk Fp Trs:4792132,Contract for Difference,3540.2,100,99.25,3.51,Home & Office Products,France,,,2024-08-26T05:00:00,
Agrinam Acquisition Corp.,Rights and Warrants,19798,0.01,98.99,,Pre-Merger SPAC,United States,,,2027-06-30T05:00:00,
Dscv Ln Trs:0005588,Contract for Difference,3708,100,96.53,4.8,Technology Hardware,Great Britain,,,,
Htg Ln Trs:0447889,Contract for Difference,13528.8,100,93.91,4.8,Oil & Gas Services & Equipment,Great Britain,,,2024-05-28T05:00:00,
Invesco Select Trust PLC TRS,Contract for Difference,15000,1.65,93.72,,Investment Trust,Multi-Country,,,2024-06-03T05:00:00,
"Zapp Electric Vehicles Group, Ltd.",Rights and Warrants,11642,0.01,93.14,,Automotive,Cayman Islands,,,2028-03-03T06:00:00,
BenevolentAI,Rights and Warrants,7014,0.01,74.85,,Pre-Merger SPAC,Netherlands,,,2026-06-30T05:00:00,
"Verde Clean Fuels, Inc.",Rights and Warrants,327,0.21,67.04,,Renewable Energy,United States,,,2027-12-31T06:00:00,
Integrated Wellness Acquisition Corp.,Rights and Warrants,1475,0.04,60.99,,Pre-Merger SPAC,United States,,,2028-10-31T05:00:00,
"Nogin, Inc.",Rights and Warrants,8372,0,40.19,,Pre-Merger SPAC,United States,,,2027-08-26T05:00:00,
"SpringBig Holdings, Inc.",Rights and Warrants,24279,0,40.06,,Pre-Merger SPAC,United States,,,2027-12-31T06:00:00,
Vrla Fp Trs:bkt7807,Contract for Difference,59618.12,100,35.13,3.21,Containers & Packaging,France,,,2024-05-28T05:00:00,
Afm Ln Trs:bf16c05,Contract for Difference,3776.63,100,34.97,4.8,Commercial Support Services,Great Britain,,,2024-05-28T05:00:00,
Bwy Ln Trs:0090498,Contract for Difference,4226.36,100,33.19,4.8,Home Construction,Great Britain,,,2024-08-27T05:00:00,
"BlackRock MuniVest Fund, Inc.",Mutual Funds,4,6.82,27.28,,Closed-end Funds,United States,,,,
"Semilux, Ltd.",Rights and Warrants,400,0.06,23.32,,Pre-Merger SPAC,Singapore,,,2027-04-28T05:00:00,
International Business Machines,Contract for Difference,-1000,-2.2,21.97,1,Technology Hardware,United States,,,2027-06-20T05:00:00,
Rdw Ln Trs:bg11k36,Contract for Difference,4395.49,100,12.78,4.8,Home Construction,Great Britain,,,2024-08-27T05:00:00,
"iCoreConnect, Inc.",Rights and Warrants,1112,0.01,11.12,,Software,United States,,,2028-05-15T05:00:00,
Nuveen Arizona Quality Municipal Income Fund,Mutual Funds,1,10.58,10.58,,Closed-end Funds,United States,,,,
IX Acquisition Corp.,Rights and Warrants,112,0.09,10.01,,Pre-Merger SPAC,Great Britain,,,2026-11-24T06:00:00,
Big Ln Trs:bn2tr93,Contract for Difference,901.47,100,7.46,4.8,Software,Great Britain,,,2024-08-27T05:00:00,
Swiftmerge Acquisition Corp.,Rights and Warrants,132,0.05,6.78,,Pre-Merger SPAC,Canada,,,2028-06-17T05:00:00,
Gama Ln Trs:bqs10j5,Contract for Difference,3091.6,100,5.9,4.8,Wireless Telecommunications,Great Britain,,,,
Armada Acquisition Corp. I,Rights and Warrants,19,0.14,2.58,,Pre-Merger SPAC,United States,,,2026-08-13T05:00:00,
Bowl Ln Trs:bd0nvk6,Contract for Difference,274.4,100,1.5,4.2,Leisure Facilities & Services,Great Britain,,,2024-05-28T05:00:00,
Page Ln Trs:3023231,Contract for Difference,317.94,100,1.42,4.8,Commercial Support Services,Great Britain,,,2024-08-27T05:00:00,
Bmy Ln Trs:3314775,Contract for Difference,32.76,100,0.9,4.8,Publishing & Broadcasting,Great Britain,,,,
"NewGenIvf Group, Ltd.",Rights and Warrants,1,0.08,0.08,,Biotech & Pharma,Hong Kong,,,2028-06-26T05:00:00,
Everyware Global,Common Stock,43777,0,0.04,,Home & Office Products,United States,,,,
Financial Strategies Acquisition Corp.,Rights and Warrants,9493,0,0.01,,Pre-Merger SPAC,United States,,,2028-03-31T05:00:00,
"NPC International, Inc.",Bank Loan,605000,0,0.01,,Retail - Discretionary,United States,WR,NR,2025-04-18T05:00:00,
Sspg Ln Trs:bgbn7c0,Contract for Difference,92.45,100,-0.11,4.8,Commercial Support Services,Great Britain,,,2024-08-27T05:00:00,
Wkp Ln Trs:b67g5x0,Contract for Difference,93.29,100,-1.55,4.8,REIT,Great Britain,,,2024-08-27T05:00:00,
Snr Ln Trs:0795823,Contract for Difference,1226.42,100,-1.87,4.8,Aerospace & Defense,Great Britain,,,2024-08-27T05:00:00,
Rch Ln Trs:0903994,Contract for Difference,57.92,100,-2.13,4.8,Publishing & Broadcasting,Great Britain,,,2024-08-27T05:00:00,
Nfc Ln Trs:3002605,Contract for Difference,194.04,100,-4.13,4.8,Specialty Finance,Great Britain,,,,
Ipx Ln Trs:0490526,Contract for Difference,3133.73,100,-8.81,4.8,Asset Management,Great Britain,,,,
Mgam Ln Trs:0602729,Contract for Difference,1009.8,100,-32.99,4.8,Chemicals,Great Britain,,,2024-05-28T05:00:00,
Cre Ln Trs:bn133n2,Contract for Difference,2346.3,100,-35.54,4.8,Insurance,Great Britain,,,2024-08-27T05:00:00,
Mct Ln Trs:b15pv03,Contract for Difference,1292,1,-40.37,,Investment Trust,Canada,,,2024-05-03T05:00:00,
Soi Fp Trs:bz6t5c2,Contract for Difference,16253.6,100,-46.96,3.51,Semiconductors,France,,,2024-05-24T05:00:00,
Spie Fp Trs:byzfys3,Contract for Difference,79114.56,100,-49.43,3.51,Engineering & Construction,France,,,2024-05-28T05:00:00,
Atg Ln Trs:bmvqdz6,Contract for Difference,1774.5,100,-52.31,4.8,E-Commerce Discretionary,Great Britain,,,2024-08-27T05:00:00,
Card Ln Trs:bly2f70,Contract for Difference,530.56,100,-71.12,4.8,Retail - Discretionary,Great Britain,,,2024-08-27T05:00:00,
G24 Gr Trs:byt9340,Contract for Difference,49059,100,-75.88,3.51,Internet Media & Services,Germany,,,2025-04-30T05:00:00,
Caml Ln Trs:b67kbv2,Contract for Difference,2345.2,100,-78.62,4.8,Metals & Mining,Great Britain,,,2024-08-27T05:00:00,
Cvsg Ln Trs:b286382,Contract for Difference,22496.8,100,-86.41,4.8,Health Care Facilities & Svcs,Great Britain,,,2024-05-28T05:00:00,
Vsvs Ln Trs:b82yxw8,Contract for Difference,21105.84,100,-249.32,4.8,Machinery,Great Britain,,,,
Ccc Ln Trs:bv9fp30,Contract for Difference,57895.72,100,-281.27,4.8,Technology Services,Great Britain,,,2024-05-24T05:00:00,
Van Lanschot Kempen NV,Common Stock,-8,33.35,-284.73,,Asset Management,Netherlands,,,,
Sanlorenzo SpA/Ameglia,Common Stock,-8,41.15,-351.32,,Leisure Products,Italy,,,,
Imi Ln Trs:bglp8l2,Contract for Difference,94214.16,100,-404.56,4.8,Machinery,Great Britain,,,2024-05-24T05:00:00,
Supp Ln Trs:bvg1cf2,Contract for Difference,67846,0.12,-423.88,,Investment Trust,Great Britain,,,,
Knos Ln Trs:bz0d672,Contract for Difference,10754,100,-438.49,4.8,Technology Services,Great Britain,,,2024-08-27T05:00:00,
Bby Ln Trs:0096162,Contract for Difference,57481.37,100,-517.01,4.8,Engineering & Construction,Great Britain,,,2024-05-28T05:00:00,
Qq/ Ln Trs:b0wmwd0,Contract for Difference,182102.18,100,-664.17,4.8,Technology Services,Great Britain,,,,
Basc Ln Trs:0346340,Contract for Difference,11876,12.95,-741.98,,Investment Trust,United States,,,2024-05-28T05:00:00,
Inch Ln Trs:b61tvq0,Contract for Difference,87307.61,100,-755.21,4.8,Wholesale - Discretionary,Great Britain,,,,
Grf Sq Trs:byy3dx6,Contract for Difference,24847.72,100,-822.15,3.51,Biotech & Pharma,Spain,,,2024-05-28T05:00:00,
Smsn Li Trs:4942818,Contract for Difference,85023.99,100,-925.01,4.92,Technology Hardware,South Korea,,,2024-05-24T05:00:00,
Chg Ln Trs:b45c9x4,Contract for Difference,198567.54,100,-996.47,4.8,Aerospace & Defense,Great Britain,,,,
Ont Ln Trs:bp6s8z3,Contract for Difference,65511.18,100,-1224.93,4.8,Biotech & Pharma,Great Britain,,,2024-05-28T05:00:00,
Tep Ln Trs:0879471,Contract for Difference,41706.28,100,-1292.08,4.8,Elec & Gas Marketing & Trading,Great Britain,,,,
Dplm Ln Trs:0182663,Contract for Difference,341458.88,100,-1415.94,4.8,Electrical Equipment,Great Britain,,,,
Atlantica Sustainable Infrastructure PLC,Common Stock,-81,19.57,-1585.17,,Electric Utilities,Great Britain,,,,
"Xcel Energy, Inc.",Common Stock,-43,53.73,-2310.39,,Electric Utilities,United States,Baa1,A-,,
Alph Ln Trs:bf1tm59,Contract for Difference,55331.6,100,-2685.02,4.8,Institutional Financial Svcs,Great Britain,,,2025-04-30T05:00:00,
"Alibaba Group Holding, Ltd.",Common Stock,-37,74.85,-2769.45,,E-Commerce Discretionary,China,,,,
Constellation Energy Corp.,Common Stock,-15,185.94,-2789.1,,Electric Utilities,United States,Baa3,NR,,
Eversource Energy,Common Stock,-54,60.62,-3273.48,,Electric Utilities,United States,,B,,
Futr Ln Trs:byzn904,Contract for Difference,30182.04,100,-3344.09,4.8,Internet Media & Services,Great Britain,,,,
Wgb At Trs:bf4k442,Contract for Difference,265000,2.22,-3433.33,,Closed-End Funds,Multi-Country,,,2024-07-15T05:00:00,
Baillie Gifford European Growth Trust PLC,Contract for Difference,409074,0.95,-3578.11,,Investment Trust,Multi-Country,,,2024-10-31T05:00:00,
Gaw Ln Trs:0371847,Contract for Difference,89472,100,-3610.19,4.8,Leisure Products,Great Britain,,,,
Pct Ln Trs:0422002,Contract for Difference,62326,29.2,-3893.96,,Closed-End Funds,Multi-Country,,,,
Cyn Ln Trs:0035392,Contract for Difference,181015,1.85,-4523.74,,Specialty Finance,Multi-Country,,,2024-06-17T05:00:00,
Vg1 At Trs:bf5v8z3,Contract for Difference,468000,1.8,-4547.55,,Closed-End Funds,Multi-Country,,,2024-07-15T05:00:00,
Dnlm Ln Trs:b1ckq73,Contract for Difference,191116.38,100,-5045.26,4.8,Retail - Discretionary,Great Britain,,,,
Gns Ln Trs:0207458,Contract for Difference,121936.64,100,-5968.23,4.8,Food,Great Britain,,,,
"ServiceNow, Inc.",Common Stock,-9,693.33,-6239.97,,Software,United States,,,,
"Generac Holdings, Inc.",Common Stock,-46,135.96,-6254.16,,Electrical Equipment,United States,,,,
Emg Ln Trs:bj1dlw9,Contract for Difference,126893.78,100,-6804.58,4.8,Asset Management,Great Britain,,,,
Icp Ln Trs:byt1dj1,Contract for Difference,239984.64,100,-7613.94,4.8,Asset Management,Great Britain,,,,
Arcadis NV,Common Stock,-127,58.15,-7881.34,,Engineering & Construction,Netherlands,,,,
"Rivian Automotive, Inc.",Common Stock,-911,8.9,-8107.9,,Automotive,United States,,,,
"Denali Therapeutics, Inc.",Common Stock,-556,15.44,-8584.64,,Biotech & Pharma,United States,,,,
Fabrinet,Common Stock,-51,173.07,-8826.57,,Technology Hardware,Thailand,,,,
"Airbnb, Inc.",Common Stock,-61,158.57,-9672.77,,Internet Media & Services,United States,,,,
"HubSpot, Inc.",Common Stock,-16,604.87,-9677.92,,Software,United States,,,,
Appian Corp.,Common Stock,-264,37.44,-9884.16,,Software,United States,,,,
RRD CDS USD 6/29 OTC,Contract for Difference,113000,-8.94,-10107.63,5,Commercial Support Services,United States,,,2029-06-20T05:00:00,
Templeton EM Investment Trust PLC TRS,Contract for Difference,1425307,1.56,-10685.93,,Investment Trust,Multi-Country,,,2024-06-19T05:00:00,
Interpump Group SpA,Common Stock,-248,41.08,-10872.48,,Machinery,Italy,,,,
"Archrock, Inc.",Common Stock,-598,19.19,-11475.62,,Oil & Gas Services & Equipment,United States,,,,
Oxig Ln Trs:0665045,Contract for Difference,260619,100,-11950.67,4.8,Electrical Equipment,Great Britain,,,,
Ameren Corp.,Common Stock,-169,73.87,-12484.03,,Electric Utilities,United States,WR,BBB,,
"Palo Alto Networks, Inc.",Common Stock,-43,290.89,-12508.27,,Software,United States,,,,
Genesis Energy LP,Common Stock,-1072,11.83,-12681.76,,Oil & Gas Producers,United States,,BB-,,
"Illumina, Inc.",Common Stock,-121,123.05,-14889.05,,Medical Equipment & Devices,United States,,,,
HelloFresh SE,Common Stock,-2395,6.35,-16240.49,,Retail - Consumer Staples,Germany,,,,
AES Corp.,Common Stock,-966,17.9,-17291.4,,Electric Utilities,United States,B1,BB-,,
"NIO, Inc.",Common Stock,-3787,4.72,-17874.64,,Automotive,China,,,,
Duke Energy Corp.,Common Stock,-184,98.26,-18079.84,,Electric Utilities,United States,,BBB+,,
Trelleborg AB,Common Stock,-507,393.2,-18089.4,,Industrial Intermediate Prod,Sweden,,,,
Prysmian SpA,Common Stock,-338,51.18,-18461.35,,Industrial Intermediate Prod,Italy,,,,
Zalando SE,Common Stock,-731,24.47,-19089.64,,E-Commerce Discretionary,Germany,,,,
Bayer AG,Common Stock,-687,27.4,-20085.13,,Biotech & Pharma,Germany,,A-,,
Microsoft Corp.,Common Stock,-55,389.33,-21413.15,,Software,United States,Aaa,AAA,,
Bravida Holding AB,Common Stock,-3360,75.15,-22912.42,,Engineering & Construction,Sweden,,,,
PPL Corp.,Common Stock,-922,27.46,-25318.12,,Electric Utilities,United States,,BBB,,
"Civitas Resources, Inc.",Common Stock,-386,71.96,-27776.56,,Oil & Gas Producers,United States,,,,
"Descartes Systems Group, Inc.",Common Stock,-313,127.7,-29034.32,,Software,Canada,,,,
Neste Oyj,Common Stock,-1283,21.34,-29219.15,,Oil & Gas Producers,Finland,,,,
"MongoDB, Inc.",Common Stock,-83,365.18,-30309.94,,Software,United States,,,,
DTE Energy Co.,Common Stock,-277,110.32,-30558.64,,Electric Utilities,United States,Baa2,BBB+,,
E-Mini Russ 2000  Jun24,Futures,86,1985.6,-31840.29,,Future,United States,,,2024-06-21T05:00:00,
"Crowdstrike Holdings, Inc.",Common Stock,-112,292.54,-32764.48,,Software,United States,,,,
Occidental Petroleum Corp.,Common Stock,-508,66.14,-33599.12,,Oil & Gas Producers,United States,A2,A,,
CTS Eventim AG & Co. KGaA,Common Stock,-378,83.3,-33603.41,,Leisure Facilities & Services,Germany,,,,
Infineon Technologies AG,Common Stock,-999,32.53,-34681.35,,Semiconductors,Germany,,,,
"Shopify, Inc.",Common Stock,-495,70.2,-34749,,Software,Canada,,,,
"Uber Technologies, Inc.",Common Stock,-602,66.27,-39894.54,,Internet Media & Services,United States,,,,
"CenterPoint Energy, Inc.",Common Stock,-1383,29.14,-40300.62,,Electric Utilities,United States,Ba1,A-,,
"Alphabet, Inc.",Common Stock,-256,162.78,-41671.68,,Internet Media & Services,United States,,,,
"SPS Commerce, Inc.",Common Stock,-240,173.87,-41728.8,,Software,United States,,,,
Hexpol AB,Common Stock,-4048,126,-46282.17,,Industrial Intermediate Prod,Sweden,,,,
Marathon Oil Corp.,Common Stock,-1727,26.85,-46369.95,,Oil & Gas Producers,United States,Baa1,BBB,,
EQT Corp.,Common Stock,-1158,40.09,-46424.22,,Oil & Gas Producers,United States,Baa1,BBB,,
"Netflix, Inc.",Common Stock,-85,550.64,-46804.4,,Internet Media & Services,United States,Ba2,BB-,,
"BlackLine, Inc.",Common Stock,-815,58.05,-47310.75,,Software,United States,,,,
"Recursion Pharmaceuticals, Inc.",Common Stock,-6087,7.82,-47600.34,,Biotech & Pharma,United States,,,,
"Watsco, Inc.",Common Stock,-110,447.72,-49249.2,,Industrial Support Services,United States,,,,
"AeroVironment, Inc.",Common Stock,-312,159.79,-49854.48,,Aerospace & Defense,United States,,,,
FUCHS SE,Preferred Stock,-1103,43.72,-51463.84,,Chemicals,Germany,,,,
Aalberts NV,Common Stock,-1110,44.92,-53211.96,,Machinery,Netherlands,,,,
NextEra Energy Partners LP,Common Stock,-1951,28.36,-55330.36,,Electric Utilities,United States,,,,
"Pegasystems, Inc.",Common Stock,-933,59.42,-55438.86,,Software,United States,,,,
Ferrari NV,Common Stock,-137,415.7,-56950.9,,Automotive,Italy,,,,
Deutsche Boerse AG,Common Stock,-301,180.65,-58029.79,,Institutional Financial Svcs,Germany,,AA,,
"Tesla, Inc.",Common Stock,-331,183.28,-60665.68,,Automotive,United States,,,,
ConocoPhillips,Common Stock,-489,125.62,-61428.18,,Oil & Gas Producers,United States,A1,A,,
"NextEra Energy, Inc.",Common Stock,-918,66.97,-61478.46,,Electric Utilities,United States,,A-,,
"Varonis Systems, Inc.",Common Stock,-1416,43.75,-61950,,Software,United States,,,,
"Salesforce, Inc.",Common Stock,-239,268.94,-64276.66,,Software,United States,,BB,,
Markit iTraxx Europe Subordinated Financials Series 39,Contract for Difference,20000000,-0.31,-65120.65,1,Investment Trust,Multi-Country,,,2028-06-20T05:00:00,
Adyen NV,Common Stock,-54,1130.2,-65132.17,,Technology Services,Netherlands,,,,
"10X Genomics, Inc.",Common Stock,-2482,29.28,-72672.96,,Medical Equipment & Devices,United States,,,,
Chesapeake Energy Corp.,Common Stock,-817,89.88,-73431.96,,Oil & Gas Producers,United States,Ba3,BB-,,
TKH Group NV,Common Stock,-1725,40.56,-74667.83,,Electrical Equipment,Netherlands,,,,
Brembo NV,Common Stock,-5840,12,-74789.49,,Automotive,Italy,,,,
"Arista Networks, Inc.",Common Stock,-296,256.56,-75941.76,,Technology Hardware,United States,,,,
"Chegg, Inc.",Common Stock,-14927,5.17,-77172.59,,Consumer Services,United States,,,,
RELX PLC,Common Stock,-1872,38.7,-77314.92,,Technology Services,Great Britain,,BBB+,,
"Monolithic Power Systems, Inc.",Common Stock,-120,669.33,-80319.6,,Semiconductors,United States,,,,
Markit iTraxx Europe Subordinated Financials Series 39,Contract for Difference,25000000,-0.31,-81400.81,1,Investment Trust,Multi-Country,,,2028-06-20T05:00:00,
"Pinterest, Inc.",Common Stock,-2480,33.45,-82956,,Internet Media & Services,United States,,,,
Delivery Hero SE,Common Stock,-2989,26.29,-83861.57,,Internet Media & Services,Germany,,,,
"Moderna, Inc.",Common Stock,-835,110.31,-92108.85,,Biotech & Pharma,United States,,,,
"Wayfair, Inc.",Common Stock,-1942,50.15,-97391.3,,E-Commerce Discretionary,United States,,,,
Exxon Mobil Corp.,Common Stock,-841,118.27,-99465.07,,Oil & Gas Producers,United States,WR,AAA,,
"Novocure, Ltd.",Common Stock,-8253,12.24,-101016.72,,Medical Equipment & Devices,Jersey,,,,
Spotify Technology SA,Common Stock,-361,280.44,-101238.84,,Internet Media & Services,Sweden,,,,
Deere & Co.,Common Stock,-261,391.41,-102158.01,,Machinery,United States,A2,A,,
"Doximity, Inc.",Common Stock,-4288,24.29,-104155.52,,Software,United States,,,,
Genmab A/S,Common Stock,-376,1956.5,-105258.91,,Biotech & Pharma,Denmark,,,,
Cie Financiere Richemont SA,Common Stock,-776,127.9,-107968.89,,Apparel & Textile Products,Switzerland,,,,
"JD.com, Inc.",Common Stock,-3742,28.89,-108106.38,,E-Commerce Discretionary,China,,,,
"Pacira BioSciences, Inc.",Common Stock,-4237,26.25,-111221.25,,Biotech & Pharma,United States,,,,
RRD CDS USD 6/29 OTC,Contract for Difference,1265000,-8.94,-113151.76,5,Commercial Support Services,United States,,,2029-06-20T05:00:00,
"Dexcom, Inc.",Common Stock,-908,127.39,-115670.12,,Medical Equipment & Devices,United States,,,,
ROBLOX Corp.,Common Stock,-3555,35.56,-126415.8,,Entertainment Content,United States,,,,
"Datadog, Inc.",Common Stock,-1033,125.5,-129641.5,,Software,United States,,,,
"PDD Holdings, Inc.",Common Stock,-1036,125.18,-129686.48,,E-Commerce Discretionary,Ireland,,,,
Pembina Pipeline Corp.,Common Stock,-3934,48.44,-138425.13,,Oil & Gas Producers,Canada,,BBB,,
"Progyny, Inc.",Common Stock,-4555,32.06,-146033.3,,Health Care Facilities & Svcs,United States,,,,
BE Semiconductor Industries NV,Common Stock,-1112,125.5,-148934.4,,Semiconductors,Netherlands,,,,
"Infosys, Ltd.",Common Stock,-8959,16.71,-149704.89,,Technology Services,India,,BBB+,,
Pioneer Natural Resources Co.,Common Stock,-583,269.32,-157013.56,,Oil & Gas Producers,United States,Ba1,BBB-,,
"Credicorp, Ltd.",Common Stock,-961,165.61,-159151.21,,Banking,Peru,,,,
BFF Bank SpA,Common Stock,-12822,12.05,-164888.1,,Specialty Finance,Italy,,,,
"Kinder Morgan, Inc.",Common Stock,-9040,18.28,-165251.2,,Oil & Gas Producers,United States,Baa2,BB,,
"Merck & Co., Inc.",Common Stock,-1304,129.22,-168502.88,,Biotech & Pharma,United States,Aa3,AA,,
Heineken NV,Common Stock,-1749,91.3,-170414.71,,Beverages,Netherlands,,BBB+,,
"HashiCorp, Inc.",Common Stock,-5297,32.46,-171940.62,,Software,United States,Baa3,BBB+,,
EnLink Midstream LLC,Common Stock,-12763,13.72,-175108.36,,Oil & Gas Producers,United States,,,,
"Snowflake, Inc.",Common Stock,-1175,155.2,-182360,,Software,United States,,,,
Melexis NV,Common Stock,-2272,78.8,-191064.96,,Semiconductors,Belgium,,,,
"Shockwave Medical, Inc.",Common Stock,-591,330.19,-195142.29,,Medical Equipment & Devices,United States,,,,
"Workday, Inc.",Common Stock,-817,244.73,-199944.41,,Software,United States,,,,
Heineken Holding NV,Common Stock,-2528,75.55,-203825.28,,Beverages,Netherlands,,,,
"CoStar Group, Inc.",Common Stock,-2236,91.53,-204661.08,,Technology Services,United States,,,,
NVIDIA Corp.,Common Stock,-244,864.02,-210820.88,,Semiconductors,United States,,NR,,
RR Donnelley & Sons,Contract for Difference,2434000,-8.97,-218358.53,5,Commercial Support Services,United States,,,2028-06-20T05:00:00,
"Upwork, Inc.",Common Stock,-19049,11.7,-222873.3,,Internet Media & Services,United States,,,,
"NetEase, Inc.",Common Stock,-2396,93.47,-223954.12,,Entertainment Content,China,,,,
"Meta Platforms, Inc.",Common Stock,-562,430.17,-241755.54,,Internet Media & Services,United States,,,,
"Cloudflare, Inc.",Common Stock,-2965,87.4,-259141,,Software,United States,,,,
"MarketAxess Holdings, Inc.",Common Stock,-1305,200.09,-261117.45,,Technology Services,United States,,,,
"Super Micro Computer, Inc.",Common Stock,-345,858.8,-296286,,Technology Hardware,United States,,,,
"Duolingo, Inc.",Common Stock,-1314,225.75,-296635.5,,Software,United States,,,,
"Shopify, Inc.",Common Stock,-4260,97.48,-301648.79,,Software,Canada,,,,
CDX HY S42 08/21/2024 Payer Swaption 103,Option,-37014000,0.01,-310350.92,,Options,United States,,,2024-08-22T05:00:00,
Antero Midstream Corp.,Common Stock,-22615,13.84,-312991.6,,Oil & Gas Producers,United States,Ba2,B+,,
"DoorDash, Inc.",Common Stock,-2486,129.26,-321340.36,,Internet Media & Services,United States,,,,
"Enbridge, Inc.",Common Stock,-9217,48.95,-327731.92,,Oil & Gas Producers,Canada,Baa1,A-,,
STAAR Surgical Co.,Common Stock,-7346,45.96,-337622.16,,Medical Equipment & Devices,United States,,,,
"Zillow Group, Inc.",Common Stock,-8516,42.57,-362526.12,,Internet Media & Services,United States,,,,
"DT Midstream, Inc.",Common Stock,-6253,62.2,-388936.6,,Oil & Gas Producers,United States,,,,
Plains All American Pipeline LP,Common Stock,-23149,17.23,-398857.27,,Oil & Gas Producers,United States,Baa3,BBB,,
Exact Sciences Corp.,Common Stock,-6763,59.35,-401384.05,,Medical Equipment & Devices,United States,,,,
"MercadoLibre, Inc.",Common Stock,-289,1458.7,-421564.3,,E-Commerce Discretionary,Uruguay,,,,
Fncl 6 6/24 Tba Cfd,Contract for Difference,105628000,99.05,-422921.84,,Agency Forward,United States,,,,
RRD CDS USD 6/29 OTC,Contract for Difference,5203000,-8.94,-465398.11,5,Commercial Support Services,United States,,,2029-06-20T05:00:00,
CDX HY S42 09/18/2024 Payer Swaption 102.5,Option,-49352000,0.01,-475472.96,,Options,United States,,,2024-09-19T05:00:00,
TC Energy Corp.,Common Stock,-13910,49.32,-498341.05,,Oil & Gas Producers,Canada,,A-,,
"Hilton Worldwide Holdings, Inc.",Common Stock,-2673,197.28,-527329.44,,Leisure Facilities & Services,United States,Ba1,BB-,,
"Visa, Inc.",Common Stock,-1978,268.61,-531310.58,,Technology Services,United States,,A+,,
ASML Holding NV,Common Stock,-598,832.7,-531417.99,,Semiconductors,Netherlands,,,,
"Mastercard, Inc.",Common Stock,-1187,451.2,-535574.4,,Technology Services,United States,,A,,
"Axon Enterprise, Inc.",Common Stock,-1884,313.66,-590935.44,,Aerospace & Defense,United States,,,,
